,string_X_train,Y_label,EXPNO,from,predict,class,預測部門代號
789,COMMODITY                                                  AMOUNTPOLYESTER TEXTURED  YARN HS CODE540233POLYESTER PARTIALY ORIENTED YARNHS CODE540246POLYESTER FILAMENT YARNHS CODE540247        USD  50000000FOB TAIWAN,YARN,25,20210406.xlsx,"['POLYESTER PARTIALY ORIENTED YARN', 'POLYESTER FILAMENT YARN', ' YARN ']",rule,25
790,COMMODITY                                                  AMOUNTPOLYESTER TEXTURED  YARN HS CODE540233POLYESTER PARTIALY ORIENTED YARNHS CODE540246POLYESTER FILAMENT YARNHS CODE540247        USD  50000000FOB TAIWAN,YARN,25,20210406.xlsx,"['POLYESTER PARTIALY ORIENTED YARN', 'POLYESTER FILAMENT YARN', ' YARN ']",rule,25
791,COMMODITY                                                  AMOUNTPOLYESTER TEXTURED  YARN HS CODE540233POLYESTER PARTIALY ORIENTED YARNHS CODE540246POLYESTER FILAMENT YARNHS CODE540247        USD  50000000FOB TAIWAN,YARN,25,20210406.xlsx,"['POLYESTER PARTIALY ORIENTED YARN', 'POLYESTER FILAMENT YARN', ' YARN ']",rule,25
795,525 MTS PVC SUSPENSION RESIN S60 AT USD 1640 PER MT AND 525MTS  PVC MASS RESIN B57  AT USD 1650 PER MT AS PER EXPORTSALES CONTRACT NO  A9L4328 DATED 19032021 OF FORMOSA PLASTICSCORPORATIONINCOTERM CIF NHAVA SHEVA PORTINDIA,PVC MASS RESIN B57,11,20210406.xlsx,"['PVC MASS RESIN B57', 'PVC SUSPENSION RESIN']",rule,11
796,525 MTS PVC SUSPENSION RESIN S60 AT USD 1640 PER MT AND 525MTS  PVC MASS RESIN B57  AT USD 1650 PER MT AS PER EXPORTSALES CONTRACT NO  A9L4328 DATED 19032021 OF FORMOSA PLASTICSCORPORATIONINCOTERM CIF NHAVA SHEVA PORTINDIA,PVC MASS RESIN B57,11,20210406.xlsx,"['PVC MASS RESIN B57', 'PVC SUSPENSION RESIN']",rule,11
801,24MTS OF EVA  TAISOX 7470M  AT USD2610MTUNDER CONTRACT NOH0Q1304A PO 2103211PACKING1500KGPALLET24MTS OF EVA TAISOX 7470M AT USD2610MTUNDER CONTRACT NOH0Q1304C PO 2103213PACKING1500KGPALLETFOB ANY TAIWAN PORT,TAISOX 7470M,18,20210406.xlsx,"['EVA TAISOX', ' TAISOX ', ' EVA ', 'TAISOX 7470M']",rule,18
802,24MTS OF EVA  TAISOX 7470M  AT USD2610MTUNDER CONTRACT NOH0Q1304A PO 2103211PACKING1500KGPALLET24MTS OF EVA TAISOX 7470M AT USD2610MTUNDER CONTRACT NOH0Q1304C PO 2103213PACKING1500KGPALLETFOB ANY TAIWAN PORT,TAISOX 7470M,18,20210406.xlsx,"['EVA TAISOX', ' TAISOX ', ' EVA ', 'TAISOX 7470M']",rule,18
803,QTY24MTS OF EVA  TAISOX 7350M  AT USD2540MTUNDER CONTRACT NOH0Q1302A PO 2103201PACKING1500KGPALLETFOB ANY TAIWANESE PORT,TAISOX 7350M,18,20210406.xlsx,"['TAISOX 7350M', ' TAISOX ', ' EVA ']",rule,18
805,QTY 35MT  PVC SUSPENSION RESIN  S60 AS PER TRICON REF 374775DATED 19 MAR 2021INCOTERMS 2010  CIF NHAVA SHEVA PORT INDIA,PVC SUSPENSION RESIN,11,20210406.xlsx,"[' RESIN ', 'PVC SUSPENSION RESIN']",rule,11
808,1750 MT OF PVC MASS RESIN  GRADE  B57 AT USD1650MT FOR TOTALAMOUNT USD 2887500 AS PER PO NOS 3747701 DTD 19032021 AND18 MT OF PVC SUSPENSION RESIN S65D AT USD 1640MT FOR TOTALAMOUNT USD 2952000 AS PER PO NOS 3747702 DTD 19032021TERMS OF SHIPMENT CIF CHENNAI PORT INDIA INCOTERMS 2020,GRADE,11,20210406.xlsx,"[' GRADE ', 'PVC MASS RESIN', ' RESIN ', 'PVC SUSPENSION RESIN']",rule,11
809,1750 MT OF PVC MASS RESIN  GRADE  B57 AT USD1650MT FOR TOTALAMOUNT USD 2887500 AS PER PO NOS 3747701 DTD 19032021 AND18 MT OF PVC SUSPENSION RESIN S65D AT USD 1640MT FOR TOTALAMOUNT USD 2952000 AS PER PO NOS 3747702 DTD 19032021TERMS OF SHIPMENT CIF CHENNAI PORT INDIA INCOTERMS 2020,GRADE,11,20210406.xlsx,"[' GRADE ', 'PVC MASS RESIN', ' RESIN ', 'PVC SUSPENSION RESIN']",rule,11
812,COMMODITY          QUANTITY UNIT PRICE  PRICE TERMEVA TAISOX 7350M   50MT     USD2555MT  CIF HUANGPUCHINAEVA TAISOX 7350M   250MT    USD2555MT  CIF XIAMENCHINAEVA  TAISOX 7470M    50MT     USD2625MT  CIF TIANJIN XINGANGCHINAEVA TAISOX 7470M   250MT    USD2625MT  CIF SHANGHAICHINAEVA TAISOX 7470K   150MT    USD2645MT  CIF SHANGHAICHINAEVA TAISOX 7670S   100MT    USD2625MT  CIF SHANGHAICHINATOTAL AMOUNT USD221325000,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
813,COMMODITY          QUANTITY UNIT PRICE  PRICE TERMEVA TAISOX 7350M   50MT     USD2555MT  CIF HUANGPUCHINAEVA TAISOX 7350M   250MT    USD2555MT  CIF XIAMENCHINAEVA  TAISOX 7470M    50MT     USD2625MT  CIF TIANJIN XINGANGCHINAEVA TAISOX 7470M   250MT    USD2625MT  CIF SHANGHAICHINAEVA TAISOX 7470K   150MT    USD2645MT  CIF SHANGHAICHINAEVA TAISOX 7670S   100MT    USD2625MT  CIF SHANGHAICHINATOTAL AMOUNT USD221325000,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
814,COMMODITY          QUANTITY UNIT PRICE  PRICE TERMEVA TAISOX 7350M   50MT     USD2555MT  CIF HUANGPUCHINAEVA TAISOX 7350M   250MT    USD2555MT  CIF XIAMENCHINAEVA  TAISOX 7470M    50MT     USD2625MT  CIF TIANJIN XINGANGCHINAEVA TAISOX 7470M   250MT    USD2625MT  CIF SHANGHAICHINAEVA TAISOX 7470K   150MT    USD2645MT  CIF SHANGHAICHINAEVA TAISOX 7670S   100MT    USD2625MT  CIF SHANGHAICHINATOTAL AMOUNT USD221325000,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
815,COMMODITY          QUANTITY UNIT PRICE  PRICE TERMEVA TAISOX 7350M   50MT     USD2555MT  CIF HUANGPUCHINAEVA TAISOX 7350M   250MT    USD2555MT  CIF XIAMENCHINAEVA  TAISOX 7470M    50MT     USD2625MT  CIF TIANJIN XINGANGCHINAEVA TAISOX 7470M   250MT    USD2625MT  CIF SHANGHAICHINAEVA TAISOX 7470K   150MT    USD2645MT  CIF SHANGHAICHINAEVA TAISOX 7670S   100MT    USD2625MT  CIF SHANGHAICHINATOTAL AMOUNT USD221325000,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
816,COMMODITY          QUANTITY UNIT PRICE  PRICE TERMEVA TAISOX 7350M   50MT     USD2555MT  CIF HUANGPUCHINAEVA TAISOX 7350M   250MT    USD2555MT  CIF XIAMENCHINAEVA  TAISOX 7470M    50MT     USD2625MT  CIF TIANJIN XINGANGCHINAEVA TAISOX 7470M   250MT    USD2625MT  CIF SHANGHAICHINAEVA TAISOX 7470K   150MT    USD2645MT  CIF SHANGHAICHINAEVA TAISOX 7670S   100MT    USD2625MT  CIF SHANGHAICHINATOTAL AMOUNT USD221325000,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
817,COMMODITY          QUANTITY UNIT PRICE  PRICE TERMEVA TAISOX 7350M   50MT     USD2555MT  CIF HUANGPUCHINAEVA TAISOX 7350M   250MT    USD2555MT  CIF XIAMENCHINAEVA  TAISOX 7470M    50MT     USD2625MT  CIF TIANJIN XINGANGCHINAEVA TAISOX 7470M   250MT    USD2625MT  CIF SHANGHAICHINAEVA TAISOX 7470K   150MT    USD2645MT  CIF SHANGHAICHINAEVA TAISOX 7670S   100MT    USD2625MT  CIF SHANGHAICHINATOTAL AMOUNT USD221325000,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
822,POM FORMOCON FM 090                         59625 KG NETUNIT PRICE 215 USDKG NET           TOTAL 12819375 USDPOM FORMOCON FM 130                          5625 KG NETUNIT PRICE 215 USDKG NET            TOTAL 1209375 USD POM FORMOCON FM 270                          24750 KG NETUNIT PRICE 215 USDKG NET            TOTAL 5321250 USDPACKAGING INCL 25 KG NET ORIGINAL 4PLY KRAFT PAPER BAGS WITHPE LINING PALLETIZED SHRINK WRAPPEDCIF ROTTERDAM  INCOTERMS 2010,POM FORMOCON FM 270,1P,20210406.xlsx,"['POM FORMOCON FM 090', 'POM FORMOCON FM 270', 'POM FORMOCON FM 130']",rule,1P
825, PVC SUSPENSION RESIN   S 70 R HSN  390410  310 MT AT THERATE USD 1640MT EQUAL USD 50840AS PER TRICON REF 374742 DATED 19032021TERMS OF DELIVERY CIF MUNDRA PORT INDIA INCOTERMS 2020,PVC SUSPENSION RESIN,11,20210406.xlsx,"[' RESIN ', 'PVC SUSPENSION RESIN']",rule,11
827,24MTS OF EVA TAISOX 7350MAT USD2540MTUNDER CONTRACT NOH0Q1302D PO 2103204PACKING1500KGPALLET24MTS OF EVA  TAISOX 7470M AT USD2610MTUNDER CONTRACT NOH0Q1304D PO 2103214PACKING1500KGPALLETFOB ANY TAIWANESE PORT,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', ' EVA ', 'TAISOX 7470M']",rule,18
828,24MTS OF EVA TAISOX 7350MAT USD2540MTUNDER CONTRACT NOH0Q1302D PO 2103204PACKING1500KGPALLET24MTS OF EVA  TAISOX 7470M AT USD2610MTUNDER CONTRACT NOH0Q1304D PO 2103214PACKING1500KGPALLETFOB ANY TAIWANESE PORT,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', ' EVA ', 'TAISOX 7470M']",rule,18
830,MASS  PVC RESIN B57 QUANTITY 105 MT AT 1650 USDMTAS PER PROFORMA INVOICE NO A0B00241 DATED17032021CIF PIPAVAV PORT INDIA INCOTERMS 2010,PVC RESIN B57,11,20210406.xlsx,['PVC RESIN B57'],rule,11
833, PROCESS OIL 380N  60MT 5 PCT AT ICIS PRICING GII 500NFOB NE ASIA MEAN 120 USDMTPACKING IN FLEXIBAGTHE PRICING WEEK OF THE LOADING MONTH M IS THE WEEK OF PREVIOUSONE MONTH M1 THAT 20TH DATE LIES IN FOR INSTANCE THEPRICING WEEK FOR 2020FEBRUARYS LIFTING IS THE WEEK OF JANUARY20TH 2020IN CASE THERE IS NO ICIS QUOTATION PUBLISHED IN THE PRICING WEEKTHEN THE LATEST EFFECTIVE ICIS QUOTATION PRECEDING THE PRICINGWEEK IS AUTOMATICALLY APPLIEDTHE WEEK DEFINITION IS FROM SUNDAY 0000 HRS TO THE COMINGSATURDAY 2359 HRSANY PUBLISHED CORRECTION TO ANY OF THE RELEVANT QUOTATIONS SHALLBE TAKEN INTO ACCOUNTFINAL UNIT PRICE SHALL BE CALCULATEDROUNDED TO 3 DECIMAL PLACESFCA ANY PORT IN TAIWAN,PROCESS OIL 380N,61,20210406.xlsx,['PROCESS OIL'],rule,64
845,EVA  TAISOX 7470M QUANTITY 10000MTS      UNIT PRICE USD257500MTEVA TAISOX 7350MQUANTITY 10000MTS      UNIT PRICE USD250500MTEVA TAISOX 7350MQUANTITY 5000MTS      UNIT PRICE USD242500MTPRICE TERM CIF HUANGPU PORTCHINA,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
846,EVA  TAISOX 7470M QUANTITY 10000MTS      UNIT PRICE USD257500MTEVA TAISOX 7350MQUANTITY 10000MTS      UNIT PRICE USD250500MTEVA TAISOX 7350MQUANTITY 5000MTS      UNIT PRICE USD242500MTPRICE TERM CIF HUANGPU PORTCHINA,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
847,EVA  TAISOX 7470M QUANTITY 10000MTS      UNIT PRICE USD257500MTEVA TAISOX 7350MQUANTITY 10000MTS      UNIT PRICE USD250500MTEVA TAISOX 7350MQUANTITY 5000MTS      UNIT PRICE USD242500MTPRICE TERM CIF HUANGPU PORTCHINA,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
848,EVA  TAISOX 7470M QUANTITY 10000MTS      UNIT PRICE USD257500MTEVA TAISOX 7350MQUANTITY 10000MTS      UNIT PRICE USD250500MTEVA TAISOX 7350MQUANTITY 5000MTS      UNIT PRICE USD242500MTPRICE TERM CIF HUANGPU PORTCHINA,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
851,COMMODITY EVA  TAISOX 7350M  QUANTITY 50 MTS 10PCT UNIT PRICE USD260500MT AMOUNT USD13025000 10PCT ORIGIN TAIWAN PACKING 25 KGS NET PER STANDARD EXPORT BAGS WITHOUT PALLET CONTRACT NO HOLW13 TRADE TERM CIF ANY PORT IN HO CHI MINH CITY VIETNAMINCOTERMS 2010,TAISOX 7350M,18,20210406.xlsx,"['TAISOX 7350M', ' TAISOX ', ' EVA ']",rule,18
852,SHIPMENT TERMS FOB SEE BELOWPRODUCT 1  POLYPROPYLENE GRADE   YUNGSOX 4204QUANTITY  952 MTSUNIT PRICE USD 1870 PER MT PER PO 470607401PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 2  POLYPROPYLENEGRADE  YUNGSOX 1120QUANTITY  119 MTSUNIT PRICE USD 1620 PER MT PER PO 470616201PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 3  POLYPROPYLENEGRADE  YUNGSOX 5350TQUANTITY  1344 MTSUNIT PRICE USD 1885 PER MT PER PO 470616301PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 4  POLYPROPYLENEGRADE  YUNGSOX 5350TQUANTITY  224 MTSUNIT PRICE USD 1890 PER MT PER PO 470622601PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWAN,GRADE,1P,20210406.xlsx,"[' GRADE ', 'YUNGSOX 1120', ' POLYPROPYLENE ', 'YUNGSOX 5350T']",rule,1P
853,SHIPMENT TERMS FOB SEE BELOWPRODUCT 1  POLYPROPYLENE GRADE   YUNGSOX 4204QUANTITY  952 MTSUNIT PRICE USD 1870 PER MT PER PO 470607401PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 2  POLYPROPYLENEGRADE  YUNGSOX 1120QUANTITY  119 MTSUNIT PRICE USD 1620 PER MT PER PO 470616201PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 3  POLYPROPYLENEGRADE  YUNGSOX 5350TQUANTITY  1344 MTSUNIT PRICE USD 1885 PER MT PER PO 470616301PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 4  POLYPROPYLENEGRADE  YUNGSOX 5350TQUANTITY  224 MTSUNIT PRICE USD 1890 PER MT PER PO 470622601PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWAN,GRADE,1P,20210406.xlsx,"[' GRADE ', 'YUNGSOX 1120', ' POLYPROPYLENE ', 'YUNGSOX 5350T']",rule,1P
854,SHIPMENT TERMS FOB SEE BELOWPRODUCT 1  POLYPROPYLENE GRADE   YUNGSOX 4204QUANTITY  952 MTSUNIT PRICE USD 1870 PER MT PER PO 470607401PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 2  POLYPROPYLENEGRADE  YUNGSOX 1120QUANTITY  119 MTSUNIT PRICE USD 1620 PER MT PER PO 470616201PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 3  POLYPROPYLENEGRADE  YUNGSOX 5350TQUANTITY  1344 MTSUNIT PRICE USD 1885 PER MT PER PO 470616301PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWANPRODUCT 4  POLYPROPYLENEGRADE  YUNGSOX 5350TQUANTITY  224 MTSUNIT PRICE USD 1890 PER MT PER PO 470622601PACKING  700KG BAG WITH WOODEN PALLETINCO TERM  FOB ANY PORT IN TAIWAN,GRADE,1P,20210406.xlsx,"[' GRADE ', 'YUNGSOX 1120', ' POLYPROPYLENE ', 'YUNGSOX 5350T']",rule,1P
855,HDPE  TAISOX 9020 QUANTITY 200MTUNIT PRICE USD 132000MTAMOUNT  USD 26400000PRICE TERM CIF QINGDAO,TAISOX 9020,18,20210406.xlsx,"['TAISOX 9020', ' TAISOX ']",rule,18
857,EPOXY RESIN1  NPEL 128   QTY 19200 KGS AT USD 475 PER KGCIF  JEDDAH KSA,NPEL 128,2R,20210406.xlsx,"['EPOXY RESIN', ' NPEL ', 'NPEL 128']",rule,2R
858,EPOXY RESIN1  NPEL 128   QTY 19200 KGS AT USD 475 PER KGCIF  JEDDAH KSA,NPEL 128,2R,20210406.xlsx,"['EPOXY RESIN', ' NPEL ', 'NPEL 128']",rule,2R
860,EPOXY RESIN1  NPEL 128   QTY 19200 KGS AT USD 475 PER KGCIF  JEDDAH KSA,NPEL 128,2R,20210406.xlsx,"['EPOXY RESIN', ' NPEL ', 'NPEL 128']",rule,2R
861,30 MTONS  BISPHENOLA  PACKED IN 750 KGS BAGS AT THE RATE OFUSD 3440 PER MTON CFR KARACHI SEAPORT PAKISTAN OTHERDETAILS AS PER INDENT NO2139421 DATED 30MAR2021 OFMSTRANSCONTINENTAL AGENCIES KARACHIPAKISTAN,BISPHENOLA,2P,20210406.xlsx,[' BISPHENOLA '],rule,4A
862,EPOXY RESIN1  NPEL 128   QTY 38400 KGS AT USD 475 PER KGCIF  JEBEL ALI  UNITED ARAB EMIRATES,NPEL 128,2R,20210406.xlsx,"['EPOXY RESIN', ' NPEL ', 'NPEL 128']",rule,2R
864,24MTS OF EVA  TAISOX 7470M   AT USD2610MTUNDER CONTRACT NOH0Q1304B PO 2103212PACKING1500KGPALLETFOB     ANY TAIWAN PORT,TAISOX 7470M,18,20210406.xlsx,"[' TAISOX ', ' EVA ', 'TAISOX 7470M']",rule,18
865,24MTS OF EVA  TAISOX 7350M  AT USD2540MTUNDER CONTRACT NOH0Q1302B PO 2103202PACKING1500KGPALLET24MTS OF EVA TAISOX 7350M AT USD2540MTUNDER CONTRACT NOH0Q1302C PO 2103203PACKING1500KGPALLETTRADE TERMFOB ANY TAIWAN PORT,TAISOX 7350M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', ' EVA ']",rule,18
866,24MTS OF EVA  TAISOX 7350M  AT USD2540MTUNDER CONTRACT NOH0Q1302B PO 2103202PACKING1500KGPALLET24MTS OF EVA TAISOX 7350M AT USD2540MTUNDER CONTRACT NOH0Q1302C PO 2103203PACKING1500KGPALLETTRADE TERMFOB ANY TAIWAN PORT,TAISOX 7350M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', ' EVA ']",rule,18
867,TERMS OF SALES  CIF NHAVA SHEVA PORT INDIA45000 KGS OF EVA  TAISOX 7470M AS PER PROFORMA INVOICE NOH0LX91 DATED 24MAR2021,TAISOX 7470M,18,20210406.xlsx,"[' TAISOX ', ' EVA ', 'TAISOX 7470M']",rule,18
868,TERMS OF SALES  CIF NHAVA SHEVA PORT INDIA45000 KGS OF EVA  TAISOX 7470M AS PER PROFORMA INVOICE NOH0LX91 DATED 24MAR2021,TAISOX 7470M,18,20210406.xlsx,"[' TAISOX ', ' EVA ', 'TAISOX 7470M']",rule,18
869, DIDP  16MT AT USD2325 PER MTCFR JAPAN PORT,DIDP,27,20210406.xlsx,[' DIDP '],rule,27
870, DIDP  16MT AT USD2325 PER MTCFR JAPAN PORT,DIDP,27,20210406.xlsx,[' DIDP '],rule,27
875,COMMODITY  PARAXYLENE PXQUANTITY 10000 MT  5 PCTSPECIFICATION PURITY 997PCT MINORIGIN TAIWANUNIT PRICE USD78000MTFOB ANY PORT IN TAIWAN,PARAXYLENE,4H,20210406.xlsx,[' PARAXYLENE '],rule,4H
876,TERMS OF PRICE  CIF BUSAN SOUTH KOREACOUNTRY OF ORIGIN  TAIWANGLASS FIBER  YARN ECE22510 PCB GRADE 6200KGSDETAILS AS PER OFFER NOKTTI210407DATE APR 12 2021ISSUED BY KOREA TECHTRADE INC,YARN,XU,20210406.xlsx,"[' GRADE ', ' YARN ']",rule,4A
877,TERMS OF SALE CIF  NHAVA SHEVA PORT INDIAPVC RESIN S65D QUANTITY 144 MTSHS CODE 39041000 PVC RESIN B57  QUANTITY 525 MTSHS CODE 39041000AS PER PROFORMA INVOICE NOT21314 DATED 18032021,PVC RESIN B57,11,20210406.xlsx,"['PVC RESIN B57', 'PVC RESIN S65']",rule,11
878,TERMS OF SALE CIF  NHAVA SHEVA PORT INDIAPVC RESIN S65D QUANTITY 144 MTSHS CODE 39041000 PVC RESIN B57  QUANTITY 525 MTSHS CODE 39041000AS PER PROFORMA INVOICE NOT21314 DATED 18032021,PVC RESIN B57,11,20210406.xlsx,"['PVC RESIN B57', 'PVC RESIN S65']",rule,11
879,TERMS OF PRICE  CIF BUSAN PORTCOUNTRY OF ORIGIN  TAIWAN ROCGLASS FIBER  YARN ECG7510TECG7510BECG7510B9,YARN,XU,20210406.xlsx,[' YARN '],rule,45
